6 ,18 ,Coulomb , 4800.0 ,0.02 ,-0.02 ,0.005 ,0.5059159855111562 ,[0.09832106 0.62856455] ,156 ,361 ,2.5089089397862397e-05 ,  5.024803906 5.055722334 5.07056103 5.128186533 5.135153179 5.144810592 5.153417768
6 ,18 ,Coulomb , 4800.0 ,0.02 ,-0.02 ,0.005 ,0.49184949132046074 ,[0.46668697 0.51247997] ,8 ,381 ,2.527454855361748e-05 ,  -63.20230508 -63.11430758 -63.02773967 -63.02116641 -62.99667506 -62.97574294 -62.9289797
6 ,18 ,Coulomb , 4800.0 ,0.02 ,-0.02 ,0.005 ,0.5104203892188527 ,[0.0420013  2.65365048] ,238 ,0 ,2.4741411351260335e-05 ,  19.77268003 19.79486138 19.800545 19.82411558 19.83367796 19.83891508 19.84197682
6 ,18 ,Coulomb , 4800.0 ,0.02 ,-0.02 ,0.005 ,0.5055575708103898 ,[0.02620415 1.38534034] ,U ,U ,2.498972884355164e-05 ,  -1.94568505 -1.923967487 -1.914334227 -1.89385729 -1.892636459 -1.875514678 -1.872765117
0 ,0 ,Unknown , 4800.0 ,0.02 ,-0.02 ,0.005 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.02 ,-0.02 ,0.005 ,0.47915858982317144 ,[1.27521651 0.09091574] ,248 ,0 ,2.5146626882079896e-05 ,  -121.108963 -120.9463289 -120.79576 -120.6418619 -120.6145075 -120.5590406 -120.4832311
6 ,18 ,Coulomb , 4800.0 ,0.02 ,-0.02 ,0.005 ,0.5062893582457917 ,[0.51955541 0.48489935] ,1 ,0 ,2.4563101486079186e-05 ,  28.88976988 28.95847742 28.97178522 28.98420091 29.00251502 29.0076028 29.01551628
0 ,0 ,Unknown , 4800.0 ,0.02 ,-0.02 ,0.005 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.02 ,-0.02 ,0.005 ,0.5094228668244296 ,[0.51764972 0.49929004] ,236 ,0 ,2.43422738694876e-05 ,  50.73199455 50.81802253 50.85439761 50.89816769 50.90797234 50.93252955 50.95831594
6 ,18 ,Coulomb , 4800.0 ,0.02 ,-0.02 ,0.005 ,0.5026233068339371 ,[0.49817771 0.52384805] ,219 ,343 ,2.4881626057712468e-05 ,  -39.36457264 -39.31723418 -39.28025333 -39.25782977 -39.22356812 -39.2151419 -39.20688093
0 ,0 ,Unknown , 4800.0 ,0.02 ,-0.02 ,0.005 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
0 ,0 ,Unknown , 4800.0 ,0.02 ,-0.02 ,0.005 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.02 ,-0.02 ,0.005 ,0.5047722150281563 ,[0.52079806 0.48865685] ,U ,U ,2.405529453299838e-05 ,  47.70926419 47.8623053 47.88903642 47.91064621 47.93561691 47.9775607 47.98982763
